depth,heuristic,found,solution_cost,nodes_expanded,nodes_generated,runtime_seconds,effective_branching_factor
2,h1,True,2,2,7,1.612515188753605e-05,2.0
2,h1,True,2,2,7,7.95908272266388e-06,2.0
2,h1,True,2,2,5,5.292007699608803e-06,1.5615528128088303
2,h1,True,2,2,7,6.041023880243301e-06,2.0
2,h1,True,2,2,5,5.37489540874958e-06,1.5615528128088303
2,h1,True,2,2,5,5.041947588324547e-06,1.5615528128088303
2,h1,True,2,2,5,4.790956154465675e-06,1.5615528128088303
2,h1,True,2,2,7,7.00005330145359e-06,2.0
2,h1,True,2,2,7,6.3749030232429504e-06,2.0
2,h1,True,2,2,5,4.666158929467201e-06,1.5615528128088303
2,h1,True,2,2,7,6.95791095495224e-06,2.0
2,h1,True,2,2,5,4.708999767899513e-06,1.5615528128088303
2,h1,True,2,2,7,6.291782483458519e-06,2.0
2,h1,True,2,2,5,4.624947905540466e-06,1.5615528128088303
2,h1,True,2,2,7,6.292015314102173e-06,2.0
2,h1,True,2,2,5,4.666857421398163e-06,1.5615528128088303
2,h1,True,2,2,7,6.292015314102173e-06,2.0
2,h1,True,2,2,5,4.624947905540466e-06,1.5615528128088303
2,h1,True,2,2,5,4.542060196399689e-06,1.5615528128088303
2,h1,True,2,2,5,4.624947905540466e-06,1.5615528128088303
2,h1,True,2,2,5,4.708068445324898e-06,1.5615528128088303
2,h1,True,2,2,5,4.667090252041817e-06,1.5615528128088303
2,h1,True,2,2,7,6.542075425386429e-06,2.0
2,h1,True,2,2,5,4.624947905540466e-06,1.5615528128088303
2,h1,True,2,2,5,4.666857421398163e-06,1.5615528128088303
2,h1,True,2,2,7,6.250105798244476e-06,2.0
2,h1,True,2,2,7,6.166053935885429e-06,2.0
2,h1,True,2,2,5,4.708068445324898e-06,1.5615528128088303
2,h1,True,2,2,7,6.2498729676008224e-06,2.0
2,h1,True,2,2,5,4.58303838968277e-06,1.5615528128088303
2,h1,True,2,2,5,4.708068445324898e-06,1.5615528128088303
2,h1,True,2,2,7,6.291782483458519e-06,2.0
2,h1,True,2,2,7,6.166053935885429e-06,2.0
2,h1,True,2,2,5,5.041016265749931e-06,1.5615528128088303
2,h1,True,2,2,7,6.166985258460045e-06,2.0
2,h1,True,2,2,7,6.1248429119586945e-06,2.0
2,h1,True,2,2,5,4.58303838968277e-06,1.5615528128088303
2,h1,True,2,2,5,4.875008016824722e-06,1.5615528128088303
2,h1,True,2,2,7,6.332993507385254e-06,2.0
2,h1,True,2,2,5,4.624947905540466e-06,1.5615528128088303
2,h1,True,2,2,7,6.332993507385254e-06,2.0
2,h1,True,2,2,7,6.082933396100998e-06,2.0
2,h1,True,2,2,7,6.125075742602348e-06,2.0
2,h1,True,2,2,7,6.1658211052417755e-06,2.0
2,h1,True,2,2,5,4.583969712257385e-06,1.5615528128088303
2,h1,True,2,2,7,6.2498729676008224e-06,2.0
2,h1,True,2,2,5,4.540896043181419e-06,1.5615528128088303
2,h1,True,2,2,5,4.624947905540466e-06,1.5615528128088303
2,h1,True,2,2,5,4.62518073618412e-06,1.5615528128088303
2,h1,True,2,2,5,4.667090252041817e-06,1.5615528128088303
2,h1,True,2,2,7,6.084097549319267e-06,2.0
2,h1,True,2,2,7,6.207963451743126e-06,2.0
2,h1,True,2,2,7,6.1248429119586945e-06,2.0
2,h1,True,2,2,5,4.583969712257385e-06,1.5615528128088303
2,h1,True,2,2,5,4.624947905540466e-06,1.5615528128088303
2,h1,True,2,2,7,6.166985258460045e-06,2.0
2,h1,True,2,2,7,6.291083991527557e-06,2.0
2,h1,True,2,2,7,6.1248429119586945e-06,2.0
2,h1,True,2,2,7,6.082933396100998e-06,2.0
2,h1,True,2,2,5,4.58303838968277e-06,1.5615528128088303
2,h1,True,2,2,5,4.583969712257385e-06,1.5615528128088303
2,h1,True,2,2,5,4.624947905540466e-06,1.5615528128088303
2,h1,True,2,2,5,4.667090252041817e-06,1.5615528128088303
2,h1,True,2,2,7,6.166985258460045e-06,2.0
2,h1,True,2,2,7,6.291083991527557e-06,2.0
2,h1,True,2,2,7,6.166985258460045e-06,2.0
2,h1,True,2,2,7,6.082933396100998e-06,2.0
2,h1,True,2,2,5,4.749977961182594e-06,1.5615528128088303
2,h1,True,2,2,7,6.1248429119586945e-06,2.0
2,h1,True,2,2,5,4.665926098823547e-06,1.5615528128088303
2,h1,True,2,2,5,4.624947905540466e-06,1.5615528128088303
2,h1,True,2,2,7,6.291083991527557e-06,2.0
2,h1,True,2,2,5,4.58303838968277e-06,1.5615528128088303
2,h1,True,2,2,7,6.125075742602348e-06,2.0
2,h1,True,2,2,5,4.58303838968277e-06,1.5615528128088303
2,h1,True,2,2,5,4.667090252041817e-06,1.5615528128088303
2,h1,True,2,2,5,4.582805559039116e-06,1.5615528128088303
2,h1,True,2,2,7,6.125075742602348e-06,2.0
2,h1,True,2,2,5,4.62518073618412e-06,1.5615528128088303
