depth,heuristic,samples,average_solution_cost,average_nodes_expanded,average_nodes_generated,average_runtime_ms,average_branching_factor
2,h1,100,2.0,2.0,5.96,0.005552035290747881,1.772007462660592
2,h2,100,2.0,2.0,5.96,0.009330413304269314,1.772007462660592
2,h3,100,2.0,2.0,5.96,0.03115537809208035,1.772007462660592
4,h1,100,4.0,4.04,9.64,0.010117883794009686,1.330853888975281
4,h2,100,4.0,4.0,9.56,0.01618961337953806,1.3269883435757888
4,h3,100,4.0,4.0,9.56,0.04949837923049927,1.3269883435757888
6,h1,100,6.0,7.14,15.24,0.017611701041460037,1.2458468596324428
6,h2,100,6.0,6.33,13.71,0.025005436036735773,1.2165409554068158
6,h3,100,6.0,6.33,13.71,0.07008252432569861,1.2165409554068158
8,h1,100,8.0,13.45,26.28,0.03228121669963002,1.2431109674599892
8,h2,100,8.0,9.03,18.4,0.03371536731719971,1.168445808424113
8,h3,100,8.0,8.85,18.15,0.09227998089045286,1.16557740788486
10,h1,100,10.0,30.64,55.92,0.07172499084845185,1.2911233974755476
10,h2,100,10.0,14.31,27.58,0.051922923885285854,1.1645154593295515
10,h3,100,10.0,12.74,25.0,0.12683878419920802,1.1501406529278362
12,h1,100,12.0,71.14,124.24,0.16602545976638794,1.3293246098392553
12,h2,100,12.0,22.88,42.31,0.08138035656884313,1.1678981026896575
12,h3,100,12.0,17.88,33.99,0.17040247097611427,1.140689409717204
14,h1,100,14.0,177.31,298.1,0.4154287581332028,1.3656391356479367
14,h2,100,14.0,44.1,77.83,0.15232787234708667,1.1939187234642286
14,h3,100,14.0,31.53,57.21,0.28727160999551415,1.1607539337515818
16,h1,100,16.0,428.42,704.77,1.048386669717729,1.389388510127487
16,h2,100,16.0,79.06,133.87,0.2717945957556367,1.202219925541681
16,h3,100,16.0,50.58,87.56,0.4414741089567542,1.1631737983292099
18,h1,100,18.0,1055.4,1717.05,2.652840728405863,1.4110935535384745
18,h2,100,18.0,165.92,275.8,0.5647545866668224,1.2376010154172794
18,h3,100,18.0,98.99,167.27,0.83769038785249,1.1939709395341387
20,h1,100,20.0,2426.86,3909.89,6.496635770890862,1.4219542873726008
20,h2,100,20.0,273.98,449.6,0.9318725019693375,1.2425789680720742
20,h3,100,20.0,150.68,251.31,1.249736666213721,1.1973374643540595
22,h1,100,22.0,5795.37,9161.48,16.500917507801205,1.432959977059314
22,h2,100,22.0,445.53,723.68,2.017903297673911,1.2443499376352125
22,h3,100,22.0,243.45,401.09,2.045714515261352,1.205389694702487
24,h1,100,24.0,12694.33,19518.2,36.110782506875694,1.43586092242338
24,h2,100,24.0,883.71,1416.21,3.1716766906902194,1.2598163217626637
24,h3,100,24.0,464.13,753.49,3.8974200072698295,1.2216463161834654
